Time,x_d,y_d,theta_d,delta_d,v_d,delta_d_dot
0,-0,0,-0,0.5880026,0.4712389,0
0.0502513,0.0236794,0.0001869,0.0157869,0.5880026,0.4712389,0
0.1005025,0.0473528,0.0007476,0.0315738,0.5880026,0.4712389,0
0.1507538,0.0710145,0.001682,0.0473607,0.5880026,0.4712389,-0
0.201005,0.0946584,0.0029897,0.0631476,0.5880026,0.4712389,0
0.2512563,0.1182788,0.0046706,0.0789345,0.5880026,0.4712389,0
0.3015075,0.1418697,0.0067241,0.0947214,0.5880026,0.4712389,-0
0.3517588,0.1654252,0.0091497,0.1105083,0.5880026,0.4712389,0
0.4020101,0.1889396,0.011947,0.1262952,0.5880026,0.4712389,-0
0.4522613,0.2124068,0.015115,0.1420821,0.5880026,0.4712389,-0
0.5025126,0.2358211,0.0186532,0.157869,0.5880026,0.4712389,0
0.5527638,0.2591766,0.0225605,0.1736559,0.5880026,0.4712389,0
0.6030151,0.2824675,0.026836,0.1894428,0.5880026,0.4712389,-0
0.6532663,0.305688,0.0314787,0.2052297,0.5880026,0.4712389,0
0.7035176,0.3288324,0.0364874,0.2210166,0.5880026,0.4712389,0
0.7537688,0.3518948,0.0418607,0.2368035,0.5880026,0.4712389,0
0.8040201,0.3748694,0.0475975,0.2525904,0.5880026,0.4712389,0
0.8542714,0.3977507,0.0536963,0.2683773,0.5880026,0.4712389,0
0.9045226,0.4205328,0.0601555,0.2841642,0.5880026,0.4712389,-0
0.9547739,0.4432102,0.0669736,0.2999511,0.5880026,0.4712389,0
1.0050251,0.465777,0.0741488,0.315738,0.5880026,0.4712389,0
1.0552764,0.4882278,0.0816793,0.3315249,0.5880026,0.4712389,0
1.1055276,0.510557,0.0895633,0.3473118,0.5880026,0.4712389,0
1.1557789,0.5327588,0.0977989,0.3630986,0.5880026,0.4712389,-0
1.2060302,0.5548279,0.1063839,0.3788855,0.5880026,0.4712389,0
1.2562814,0.5767588,0.1153162,0.3946724,0.5880026,0.4712389,0
1.3065327,0.5985458,0.1245936,0.4104593,0.5880026,0.4712389,0
1.3567839,0.6201838,0.1342137,0.4262462,0.5880026,0.4712389,-0
1.4070352,0.6416671,0.1441743,0.4420331,0.5880026,0.4712389,0
1.4572864,0.6629905,0.1544728,0.45782,0.5880026,0.4712389,0
1.5075377,0.6841487,0.1651066,0.4736069,0.5880026,0.4712389,0
1.5577889,0.7051364,0.176073,0.4893938,0.5880026,0.4712389,0
1.6080402,0.7259484,0.1873695,0.5051807,0.5880026,0.4712389,0
1.6582915,0.7465794,0.198993,0.5209676,0.5880026,0.4712389,-0
1.7085427,0.7670244,0.2109408,0.5367545,0.5880026,0.4712389,0
1.758794,0.7872782,0.2232099,0.5525414,0.5880026,0.4712389,0
1.8090452,0.8073359,0.2357972,0.5683283,0.5880026,0.4712389,0
1.8592965,0.8271923,0.2486995,0.5841152,0.5880026,0.4712389,-0
1.9095477,0.8468425,0.2619137,0.5999021,0.5880026,0.4712389,0
1.959799,0.8662817,0.2754364,0.615689,0.5880026,0.4712389,0
2.0100503,0.885505,0.2892643,0.6314759,0.5880026,0.4712389,-0
2.0603015,0.9045077,0.303394,0.6472628,0.5880026,0.4712389,-0
2.1105528,0.9232849,0.3178219,0.6630497,0.5880026,0.4712389,0
2.160804,0.941832,0.3325444,0.6788366,0.5880026,0.4712389,0
2.2110553,0.9601443,0.3475579,0.6946235,0.5880026,0.4712389,0
2.2613065,0.9782174,0.3628585,0.7104104,0.5880026,0.4712389,0
2.3115578,0.9960467,0.3784426,0.7261973,0.5880026,0.4712389,0
2.361809,1.0136278,0.3943062,0.7419842,0.5880026,0.4712389,0
2.4120603,1.0309562,0.4104454,0.7577711,0.5880026,0.4712389,0
2.4623116,1.0480277,0.4268561,7.0567433,0.5880026,0.4712389,0
2.5125628,1.064838,0.4435342,7.0725302,0.5880026,0.4712389,0
2.5628141,1.081383,0.4604756,7.0883171,0.5880026,0.4712389,-0
2.6130653,1.0976584,0.4776762,7.104104,0.5880026,0.4712389,0
2.6633166,1.1136603,0.4951315,7.1198909,0.5880026,0.4712389,0
2.7135678,1.1293846,0.5128372,7.1356778,0.5880026,0.4712389,0
2.7638191,1.1448275,0.5307889,7.1514647,0.5880026,0.4712389,0
2.8140704,1.159985,0.5489822,7.1672516,0.5880026,0.4712389,0
2.8643216,1.1748534,0.5674125,7.1830385,0.5880026,0.4712389,0
2.9145729,1.1894291,0.5860753,7.1988254,0.5880026,0.4712389,0
2.9648241,1.2037083,0.6049658,7.2146123,0.5880026,0.4712389,0
3.0150754,1.2176876,0.6240793,7.2303992,0.5880026,0.4712389,0
3.0653266,1.2313633,0.6434112,7.2461861,0.5880026,0.4712389,0
3.1155779,1.2447322,0.6629565,7.261973,0.5880026,0.4712389,0
3.1658291,1.2577909,0.6827105,7.2777599,0.5880026,0.4712389,-0
3.2160804,1.2705361,0.7026681,7.2935468,0.5880026,0.4712389,0
3.2663317,1.2829646,0.7228245,7.3093337,0.5880026,0.4712389,0
3.3165829,1.2950734,0.7431745,7.3251206,0.5880026,0.4712389,-0
3.3668342,1.3068595,0.7637131,7.3409075,0.5880026,0.4712389,0
3.4170854,1.3183198,0.7844353,7.3566944,0.5880026,0.4712389,0
3.4673367,1.3294516,0.8053358,7.3724813,0.5880026,0.4712389,0
3.5175879,1.3402521,0.8264094,7.3882682,0.5880026,0.4712389,-0
3.5678392,1.3507185,0.8476509,7.404055,0.5880026,0.4712389,0
3.6180905,1.3608484,0.8690549,7.4198419,0.5880026,0.4712389,0
3.6683417,1.3706391,0.8906162,7.4356288,0.5880026,0.4712389,0
3.718593,1.3800881,0.9123294,7.4514157,0.5880026,0.4712389,0
3.7688442,1.3891933,0.934189,7.4672026,0.5880026,0.4712389,0
3.8190955,1.3979522,0.9561897,7.4829895,0.5880026,0.4712389,-0
3.8693467,1.4063627,0.9783259,7.4987764,0.5880026,0.4712389,0
3.919598,1.4144227,1.000592,7.5145633,0.5880026,0.4712389,0
3.9698492,1.4221303,1.0229827,7.5303502,0.5880026,0.4712389,0
4.0201005,1.4294834,1.0454922,7.5461371,0.5880026,0.4712389,0
4.0703518,1.4364802,1.068115,7.561924,0.5880026,0.4712389,0
4.120603,1.443119,1.0908455,7.5777109,0.5880026,0.4712389,-0
4.1708543,1.4493982,1.1136779,7.5934978,0.5880026,0.4712389,0
4.2211055,1.4553162,1.1366066,7.6092847,0.5880026,0.4712389,0
4.2713568,1.4608715,1.1596258,7.6250716,0.5880026,0.4712389,0
4.321608,1.4660627,1.1827299,7.6408585,0.5880026,0.4712389,0
4.3718593,1.4708885,1.2059131,7.6566454,0.5880026,0.4712389,0
4.4221106,1.4753477,1.2291695,7.6724323,0.5880026,0.4712389,-0
4.4723618,1.4794393,1.2524935,7.6882192,0.5880026,0.4712389,0
4.5226131,1.4831621,1.2758791,7.7040061,0.5880026,0.4712389,0
4.5728643,1.4865153,1.2993206,7.719793,0.5880026,0.4712389,0
4.6231156,1.489498,1.3228121,7.7355799,0.5880026,0.4712389,0
4.6733668,1.4921096,1.3463477,7.7513668,0.5880026,0.4712389,0
4.7236181,1.4943492,1.3699217,7.7671537,0.5880026,0.4712389,0
4.7738693,1.4962165,1.3935281,7.7829406,0.5880026,0.4712389,-0
4.8241206,1.4977108,1.417161,7.7987275,0.5880026,0.4712389,0
4.8743719,1.4988319,1.4408145,7.8145144,0.5880026,0.4712389,0
4.9246231,1.4995795,1.4644828,7.8303013,0.5880026,0.4712389,0
4.9748744,1.4999533,1.4881599,7.8460882,0.5880026,0.4712389,0
5.0251256,1.4999533,1.5118401,7.8618751,0.5880026,0.4712389,0
5.0753769,1.4995795,1.5355172,7.877662,0.5880026,0.4712389,0
5.1256281,1.4988319,1.5591855,7.8934489,0.5880026,0.4712389,0
5.1758794,1.4977108,1.582839,7.9092358,0.5880026,0.4712389,0
5.2261307,1.4962165,1.6064719,7.9250227,0.5880026,0.4712389,-0
5.2763819,1.4943492,1.6300783,7.9408096,0.5880026,0.4712389,0
5.3266332,1.4921096,1.6536523,7.9565965,0.5880026,0.4712389,0
5.3768844,1.489498,1.6771879,7.9723834,0.5880026,0.4712389,-0
5.4271357,1.4865153,1.7006794,7.9881703,0.5880026,0.4712389,0
5.4773869,1.4831621,1.7241209,8.0039572,0.5880026,0.4712389,-0
5.5276382,1.4794393,1.7475065,8.0197441,0.5880026,0.4712389,0
5.5778894,1.4753477,1.7708305,8.035531,0.5880026,0.4712389,0
5.6281407,1.4708885,1.7940869,8.0513179,0.5880026,0.4712389,0
5.678392,1.4660627,1.8172701,8.0671048,0.5880026,0.4712389,0
5.7286432,1.4608715,1.8403742,8.0828917,0.5880026,0.4712389,-0
5.7788945,1.4553162,1.8633934,8.0986785,0.5880026,0.4712389,0
5.8291457,1.4493982,1.8863221,8.1144654,0.5880026,0.4712389,0
5.879397,1.443119,1.9091545,8.1302523,0.5880026,0.4712389,0
5.9296482,1.4364802,1.931885,8.1460392,0.5880026,0.4712389,-0
5.9798995,1.4294834,1.9545078,8.1618261,0.5880026,0.4712389,0
6.0301508,1.4221303,1.9770173,8.177613,0.5880026,0.4712389,0
6.080402,1.4144227,1.999408,8.1933999,0.5880026,0.4712389,-0
6.1306533,1.4063627,2.0216741,8.2091868,0.5880026,0.4712389,0
6.1809045,1.3979522,2.0438103,8.2249737,0.5880026,0.4712389,-0
6.2311558,1.3891933,2.065811,8.2407606,0.5880026,0.4712389,0
6.281407,1.3800881,2.0876706,8.2565475,0.5880026,0.4712389,0
6.3316583,1.3706391,2.1093838,8.2723344,0.5880026,0.4712389,0
6.3819095,1.3608484,2.1309451,8.2881213,0.5880026,0.4712389,-0
6.4321608,1.3507185,2.1523491,8.3039082,0.5880026,0.4712389,0
6.4824121,1.3402521,2.1735906,8.3196951,0.5880026,0.4712389,0
6.5326633,1.3294516,2.1946642,8.335482,0.5880026,0.4712389,0
6.5829146,1.3183198,2.2155647,8.3512689,0.5880026,0.4712389,0
6.6331658,1.3068595,2.2362869,8.3670558,0.5880026,0.4712389,-0
6.6834171,1.2950734,2.2568255,8.3828427,0.5880026,0.4712389,0
6.7336683,1.2829646,2.2771755,8.3986296,0.5880026,0.4712389,-0
6.7839196,1.2705361,2.2973319,8.4144165,0.5880026,0.4712389,0
6.8341709,1.2577909,2.3172895,8.4302034,0.5880026,0.4712389,0
6.8844221,1.2447322,2.3370435,8.4459903,0.5880026,0.4712389,-0
6.9346734,1.2313633,2.3565888,8.4617772,0.5880026,0.4712389,0
6.9849246,1.2176876,2.3759207,8.4775641,0.5880026,0.4712389,-0
7.0351759,1.2037083,2.3950342,8.493351,0.5880026,0.4712389,-0
7.0854271,1.1894291,2.4139247,8.5091379,0.5880026,0.4712389,0
7.1356784,1.1748534,2.4325875,8.5249248,0.5880026,0.4712389,0
7.1859296,1.159985,2.4510178,8.5407117,0.5880026,0.4712389,0
7.2361809,1.1448275,2.4692111,8.5564986,0.5880026,0.4712389,0
7.2864322,1.1293846,2.4871628,8.5722855,0.5880026,0.4712389,-0
7.3366834,1.1136603,2.5048685,8.5880724,0.5880026,0.4712389,0
7.3869347,1.0976584,2.5223238,8.6038593,0.5880026,0.4712389,0
7.4371859,1.081383,2.5395244,8.6196462,0.5880026,0.4712389,0
7.4874372,1.064838,2.5564658,8.6354331,0.5880026,0.4712389,0
7.5376884,1.0480277,2.5731439,8.65122,0.5880026,0.4712389,0
7.5879397,1.0309562,2.5895546,8.6670069,0.5880026,0.4712389,0
7.638191,1.0136278,2.6056938,8.6827938,0.5880026,0.4712389,0
7.6884422,0.9960467,2.6215574,8.6985807,0.5880026,0.4712389,0
7.7386935,0.9782174,2.6371415,8.7143676,0.5880026,0.4712389,0
7.7889447,0.9601443,2.6524421,8.7301545,0.5880026,0.4712389,0
7.839196,0.941832,2.6674556,8.7459414,0.5880026,0.4712389,-0
7.8894472,0.9232849,2.6821781,8.7617283,0.5880026,0.4712389,0
7.9396985,0.9045077,2.696606,8.7775152,0.5880026,0.4712389,0
7.9899497,0.885505,2.7107357,8.7933021,0.5880026,0.4712389,0
8.040201,0.8662817,2.7245636,8.8090889,0.5880026,0.4712389,0
8.0904523,0.8468425,2.7380863,8.8248758,0.5880026,0.4712389,0
8.1407035,0.8271923,2.7513005,8.8406627,0.5880026,0.4712389,0
8.1909548,0.8073359,2.7642028,8.8564496,0.5880026,0.4712389,0
8.241206,0.7872782,2.7767901,8.8722365,0.5880026,0.4712389,0
8.2914573,0.7670244,2.7890592,8.8880234,0.5880026,0.4712389,-0
8.3417085,0.7465794,2.801007,8.9038103,0.5880026,0.4712389,0
8.3919598,0.7259484,2.8126305,8.9195972,0.5880026,0.4712389,0
8.4422111,0.7051364,2.823927,8.9353841,0.5880026,0.4712389,-0
8.4924623,0.6841487,2.8348934,8.951171,0.5880026,0.4712389,0
8.5427136,0.6629905,2.8455272,8.9669579,0.5880026,0.4712389,0
8.5929648,0.6416671,2.8558257,8.9827448,0.5880026,0.4712389,0
8.6432161,0.6201838,2.8657863,8.9985317,0.5880026,0.4712389,0
8.6934673,0.5985458,2.8754064,9.0143186,0.5880026,0.4712389,0
8.7437186,0.5767588,2.8846838,9.0301055,0.5880026,0.4712389,-0
8.7939698,0.5548279,2.8936161,9.0458924,0.5880026,0.4712389,0
8.8442211,0.5327588,2.9022011,9.0616793,0.5880026,0.4712389,0
8.8944724,0.510557,2.9104367,9.0774662,0.5880026,0.4712389,0
8.9447236,0.4882278,2.9183207,9.0932531,0.5880026,0.4712389,0
8.9949749,0.465777,2.9258512,9.10904,0.5880026,0.4712389,-0
9.0452261,0.4432102,2.9330264,9.1248269,0.5880026,0.4712389,0
9.0954774,0.4205328,2.9398445,9.1406138,0.5880026,0.4712389,0
9.1457286,0.3977507,2.9463037,9.1564007,0.5880026,0.4712389,-0
9.1959799,0.3748694,2.9524025,9.1721876,0.5880026,0.4712389,0
9.2462312,0.3518948,2.9581393,9.1879745,0.5880026,0.4712389,-0
9.2964824,0.3288324,2.9635126,9.2037614,0.5880026,0.4712389,0
9.3467337,0.305688,2.9685213,9.2195483,0.5880026,0.4712389,0
9.3969849,0.2824675,2.973164,9.2353352,0.5880026,0.4712389,0
9.4472362,0.2591766,2.9774395,9.2511221,0.5880026,0.4712389,0
9.4974874,0.2358211,2.9813468,9.266909,0.5880026,0.4712389,-0
9.5477387,0.2124068,2.984885,9.2826959,0.5880026,0.4712389,0
9.5979899,0.1889396,2.988053,9.2984828,0.5880026,0.4712389,-0
9.6482412,0.1654252,2.9908503,9.3142697,0.5880026,0.4712389,0
9.6984925,0.1418697,2.9932759,9.3300566,0.5880026,0.4712389,-0
9.7487437,0.1182788,2.9953294,9.3458435,0.5880026,0.4712389,0
9.798995,0.0946584,2.9970103,9.3616304,0.5880026,0.4712389,0
9.8492462,0.0710145,2.998318,9.3774173,0.5880026,0.4712389,-0
9.8994975,0.0473528,2.9992524,9.3932042,0.5880026,0.4712389,0
9.9497487,0.0236794,2.9998131,9.4089911,0.5880026,0.4712389,-0
10,0,3,9.424778,0.5880026,0.4712389,0
