Time,x_d,y_d,theta_d,v_d,delta_
0,0,0,0,1,0
0.050199,0.050694,0,0,1,0
0.100398,0.101389,0,0,1,0
0.150598,0.152083,0,0,1,0
0.200797,0.202778,0,0,1,0
0.250996,0.253472,0,0,1,0
0.301195,0.304167,0,0,1,0
0.351394,0.354861,0,0,1,0
0.401594,0.405556,0,0,1,0
0.451793,0.45625,0,0,1,0
0.501992,0.506944,0,0,1,0
0.552191,0.557639,0,0,1,0
0.60239,0.608333,0,0,1,0
0.65259,0.659028,0,0,1,0
0.702789,0.709722,0,0,1,0
0.752988,0.760417,0,0,1,0
0.803187,0.811111,0,0,1,0
0.853386,0.861806,0,0,1,0
0.903586,0.9125,0,0,1,0
0.953785,0.963194,0,0,1,0
1.003984,1.013889,0,0,1,0
1.054183,1.064583,0,0,1,0
1.104382,1.115278,0,0,1,0
1.154582,1.165972,0,0,1,0
1.204781,1.216667,0,0,1,0
1.25498,1.267361,0,0,1,0
1.305179,1.318056,0,0,1,0
1.355378,1.36875,0,0,1,0
1.405578,1.419444,0,0,1,0
1.455777,1.470139,0,0,1,0
1.505976,1.520833,0,0,1,0
1.556175,1.571528,0,0,1,0
1.606375,1.622222,0,0,1,0
1.656574,1.672917,0,0,1,0
1.706773,1.723611,0,0,1,0
1.756972,1.774306,0,0,1,0
1.807171,1.825,0,0,1,0
1.857371,1.875694,0,0,1,0
1.90757,1.926389,0,0,1,0
1.957769,1.977083,0,0,1,0
2.007968,2.027778,0,0,1,0
2.058167,2.078472,0,0,1,0
2.108367,2.129167,0,0,1,0
2.158566,2.179861,0,0,1,0
2.208765,2.230556,0,0,1,0
2.258964,2.28125,0,0,1,0
2.309163,2.331944,0,0,1,0
2.359363,2.382639,0,0,1,0
2.409562,2.433333,0,0,1,0
2.459761,2.484028,0,0,1,0
2.50996,2.534722,0,0,1,0
2.560159,2.585417,0,0,1,0
2.610359,2.636111,0,0,1,0
2.660558,2.686806,0,0,1,0
2.710757,2.7375,0,0,1,0
2.760956,2.788194,0,0,1,0
2.811155,2.838889,0,0,1,0
2.861355,2.889583,0,0,1,0
2.911554,2.940278,0,0,1,0
2.961753,2.990972,0,0,1,0
3.011952,3.041667,0,0,1,0
3.062151,3.092361,0,0,1,0
3.112351,3.143056,0,0,1,0
3.16255,3.19375,0,0,1,0
3.212749,3.244444,0,0,1,0
3.262948,3.295139,0,0,1,0
3.313147,3.345833,0,0,1,0
3.363347,3.396528,0,0,1,0
3.413546,3.447222,0,0,1,0
3.463745,3.497917,0,0,1,0
3.513944,3.548611,0,0,1,0
3.564143,3.599306,0,0,1,0
3.614343,3.65,0,0,1,0
3.664542,3.65,0,-0,0.868922,0.218669
3.714741,3.69327,0.000694,0.032057,0.868922,0.218669
3.76494,3.736495,0.002774,0.064114,0.868922,0.218669
3.815139,3.779631,0.006238,0.096171,0.868922,0.218669
3.865339,3.822634,0.011083,0.128228,0.868922,0.218669
3.915538,3.86546,0.017305,0.160285,0.868922,0.218669
3.965737,3.908064,0.024895,0.192342,0.868922,0.218669
4.015936,3.950403,0.033847,0.224399,0.868922,0.218669
4.066135,3.992434,0.044152,0.256457,0.868922,0.218669
4.116335,4.034112,0.055798,0.288514,0.868922,0.218669
4.166534,4.075396,0.068775,0.320571,0.868922,0.218669
4.216733,4.116243,0.083068,0.352628,0.868922,0.218669
4.266932,4.15661,0.098662,0.384685,0.868922,0.218669
4.317131,4.196458,0.115543,0.416742,0.868922,0.218669
4.367331,4.235743,0.133692,0.448799,0.868922,0.218669
4.41753,4.274427,0.153091,0.480856,0.868922,0.218669
4.467729,4.312469,0.17372,0.512913,0.868922,0.218669
4.517928,4.34983,0.195557,0.54497,0.868922,0.218669
4.568127,4.386472,0.218581,0.577027,0.868922,0.218669
4.618327,4.422357,0.242767,0.609084,0.868922,0.218669
4.668526,4.457449,0.268092,0.641141,0.868922,0.218669
4.718725,4.491711,0.294527,0.673198,0.868922,0.218669
4.768924,4.525108,0.322048,0.705255,0.868922,0.218669
4.819124,4.557606,0.350625,0.737313,0.868922,0.218669
4.869323,4.589171,0.380228,0.76937,0.868922,0.218669
4.919522,4.619772,0.410829,0.801427,0.868922,0.218669
4.969721,4.649375,0.442394,0.833484,0.868922,0.218669
5.01992,4.677952,0.474892,0.865541,0.868922,0.218669
5.07012,4.705473,0.508289,0.897598,0.868922,0.218669
5.120319,4.731908,0.542551,0.929655,0.868922,0.218669
5.170518,4.757233,0.577643,0.961712,0.868922,0.218669
5.220717,4.781419,0.613528,0.993769,0.868922,0.218669
5.270916,4.804443,0.65017,1.025826,0.868922,0.218669
5.321116,4.82628,0.687531,1.057883,0.868922,0.218669
5.371315,4.846909,0.725573,1.08994,0.868922,0.218669
5.421514,4.866308,0.764257,1.121997,0.868922,0.218669
5.471713,4.884457,0.803542,1.154054,0.868922,0.218669
5.521912,4.901338,0.84339,1.186112,0.868922,0.218669
5.572112,4.916932,0.883757,1.218169,0.868922,0.218669
5.622311,4.931225,0.924604,1.250226,0.868922,0.218669
5.67251,4.944202,0.965888,1.282283,0.868922,0.218669
5.722709,4.955848,1.007566,1.31434,0.868922,0.218669
5.772908,4.966153,1.049597,1.346397,0.868922,0.218669
5.823108,4.975105,1.091936,1.378454,0.868922,0.218669
5.873307,4.982695,1.13454,1.410511,0.868922,0.218669
5.923506,4.988917,1.177366,1.442568,0.868922,0.218669
5.973705,4.993762,1.220369,1.474625,0.868922,0.218669
6.023904,4.997226,1.263505,1.506682,0.868922,0.218669
6.074104,4.999306,1.30673,1.538739,0.868922,0.218669
6.124303,5,1.35,1.570796,0.868922,0.218669
6.174502,5,1.35,1.570796,1,0
6.224701,5,1.41,1.570796,1,0
6.2749,5,1.47,1.570796,1,0
6.3251,5,1.53,1.570796,1,0
6.375299,5,1.59,1.570796,1,0
6.425498,5,1.65,1.570796,1,0
6.475697,5,1.65,1.570796,0.868922,0.218669
6.525896,4.999306,1.69327,1.602853,0.868922,0.218669
6.576096,4.997226,1.736495,1.63491,0.868922,0.218669
6.626295,4.993762,1.779631,1.666968,0.868922,0.218669
6.676494,4.988917,1.822634,1.699025,0.868922,0.218669
6.726693,4.982695,1.86546,1.731082,0.868922,0.218669
6.776892,4.975105,1.908064,1.763139,0.868922,0.218669
6.827092,4.966153,1.950403,1.795196,0.868922,0.218669
6.877291,4.955848,1.992434,1.827253,0.868922,0.218669
6.92749,4.944202,2.034112,1.85931,0.868922,0.218669
6.977689,4.931225,2.075396,1.891367,0.868922,0.218669
7.027888,4.916932,2.116243,1.923424,0.868922,0.218669
7.078088,4.901338,2.15661,1.955481,0.868922,0.218669
7.128287,4.884457,2.196458,1.987538,0.868922,0.218669
7.178486,4.866308,2.235743,2.019595,0.868922,0.218669
7.228685,4.846909,2.274427,2.051652,0.868922,0.218669
7.278884,4.82628,2.312469,2.083709,0.868922,0.218669
7.329084,4.804443,2.34983,2.115766,0.868922,0.218669
7.379283,4.781419,2.386472,2.147824,0.868922,0.218669
7.429482,4.757233,2.422357,2.179881,0.868922,0.218669
7.479681,4.731908,2.457449,2.211938,0.868922,0.218669
7.52988,4.705473,2.491711,2.243995,0.868922,0.218669
7.58008,4.677952,2.525108,2.276052,0.868922,0.218669
7.630279,4.649375,2.557606,2.308109,0.868922,0.218669
7.680478,4.619772,2.589171,2.340166,0.868922,0.218669
7.730677,4.589171,2.619772,2.372223,0.868922,0.218669
7.780876,4.557606,2.649375,2.40428,0.868922,0.218669
7.831076,4.525108,2.677952,2.436337,0.868922,0.218669
7.881275,4.491711,2.705473,2.468394,0.868922,0.218669
7.931474,4.457449,2.731908,2.500451,0.868922,0.218669
7.981673,4.422357,2.757233,2.532508,0.868922,0.218669
8.031873,4.386472,2.781419,2.564565,0.868922,0.218669
8.082072,4.34983,2.804443,2.596622,0.868922,0.218669
8.132271,4.312469,2.82628,2.62868,0.868922,0.218669
8.18247,4.274427,2.846909,2.660737,0.868922,0.218669
8.232669,4.235743,2.866308,2.692794,0.868922,0.218669
8.282869,4.196458,2.884457,2.724851,0.868922,0.218669
8.333068,4.15661,2.901338,2.756908,0.868922,0.218669
8.383267,4.116243,2.916932,2.788965,0.868922,0.218669
8.433466,4.075396,2.931225,2.821022,0.868922,0.218669
8.483665,4.034112,2.944202,2.853079,0.868922,0.218669
8.533865,3.992434,2.955848,2.885136,0.868922,0.218669
8.584064,3.950403,2.966153,2.917193,0.868922,0.218669
8.634263,3.908064,2.975105,2.94925,0.868922,0.218669
8.684462,3.86546,2.982695,2.981307,0.868922,0.218669
8.734661,3.822634,2.988917,3.013364,0.868922,0.218669
8.784861,3.779631,2.993762,3.045421,0.868922,0.218669
8.83506,3.736495,2.997226,3.077479,0.868922,0.218669
8.885259,3.69327,2.999306,3.109536,0.868922,0.218669
8.935458,3.65,3,3.141593,0.868922,0.218669
8.985657,3.65,3,3.141593,1,-0
9.035857,3.599306,3,3.141593,1,-0
9.086056,3.548611,3,3.141593,1,-0
9.136255,3.497917,3,3.141593,1,-0
9.186454,3.447222,3,3.141593,1,-0
9.236653,3.396528,3,3.141593,1,-0
9.286853,3.345833,3,3.141593,1,-0
9.337052,3.295139,3,3.141593,1,-0
9.387251,3.244444,3,3.141593,1,-0
9.43745,3.19375,3,3.141593,1,-0
9.487649,3.143056,3,3.141593,1,-0
9.537849,3.092361,3,3.141593,1,-0
9.588048,3.041667,3,3.141593,1,-0
9.638247,2.990972,3,3.141593,1,-0
9.688446,2.940278,3,3.141593,1,-0
9.738645,2.889583,3,3.141593,1,-0
9.788845,2.838889,3,3.141593,1,-0
9.839044,2.788194,3,3.141593,1,-0
9.889243,2.7375,3,3.141593,1,-0
9.939442,2.686806,3,3.141593,1,-0
9.989641,2.636111,3,3.141593,1,-0
10.039841,2.585417,3,3.141593,1,-0
10.09004,2.534722,3,3.141593,1,-0
10.140239,2.484028,3,3.141593,1,-0
10.190438,2.433333,3,3.141593,1,-0
10.240637,2.382639,3,3.141593,1,-0
10.290837,2.331944,3,3.141593,1,-0
10.341036,2.28125,3,3.141593,1,-0
10.391235,2.230556,3,3.141593,1,-0
10.441434,2.179861,3,3.141593,1,-0
10.491633,2.129167,3,3.141593,1,-0
10.541833,2.078472,3,3.141593,1,-0
10.592032,2.027778,3,3.141593,1,-0
10.642231,1.977083,3,3.141593,1,-0
10.69243,1.926389,3,3.141593,1,-0
10.742629,1.875694,3,3.141593,1,-0
10.792829,1.825,3,3.141593,1,-0
10.843028,1.774306,3,3.141593,1,-0
10.893227,1.723611,3,3.141593,1,-0
10.943426,1.672917,3,3.141593,1,-0
10.993625,1.622222,3,3.141593,1,-0
11.043825,1.571528,3,3.141593,1,-0
11.094024,1.520833,3,3.141593,1,-0
11.144223,1.470139,3,3.141593,1,-0
11.194422,1.419444,3,3.141593,1,-0
11.244622,1.36875,3,3.141593,1,-0
11.294821,1.318056,3,3.141593,1,-0
11.34502,1.267361,3,3.141593,1,-0
11.395219,1.216667,3,3.141593,1,-0
11.445418,1.165972,3,3.141593,1,-0
11.495618,1.115278,3,3.141593,1,-0
11.545817,1.064583,3,3.141593,1,-0
11.596016,1.013889,3,3.141593,1,-0
11.646215,0.963194,3,3.141593,1,-0
11.696414,0.9125,3,3.141593,1,-0
11.746614,0.861806,3,3.141593,1,-0
11.796813,0.811111,3,3.141593,1,-0
11.847012,0.760417,3,3.141593,1,-0
11.897211,0.709722,3,3.141593,1,-0
11.94741,0.659028,3,3.141593,1,-0
11.99761,0.608333,3,3.141593,1,-0
12.047809,0.557639,3,3.141593,1,-0
12.098008,0.506944,3,3.141593,1,-0
12.148207,0.45625,3,3.141593,1,-0
12.198406,0.405556,3,3.141593,1,-0
12.248606,0.354861,3,3.141593,1,-0
12.298805,0.304167,3,3.141593,1,-0
12.349004,0.253472,3,3.141593,1,-0
12.399203,0.202778,3,3.141593,1,-0
12.449402,0.152083,3,3.141593,1,-0
12.499602,0.101389,3,3.141593,1,-0
12.549801,0.050694,3,3.141593,1,-0
12.6,0,3,3.141593,1,-0
